"Table 2.1b: Annual Mean Concentrations of PM2.5 in the UK at urban background monitoring sites, 2009 to 2024",,,,,
[z] is shorthand for 'Not Applicable',,,,,
Year,Site,Annual Mean PM2.5 concentration (µg/m3)[note 1],95% confidence interval for 'All sites' (+/-)[note 3],Data capture (%),Measurement Frequency[note 4]
2020,Chesterfield Loundsley Green,6.86611832365334,[z],99.9658469945355,Hourly
2021,Chesterfield Loundsley Green,6.5418854368932,[z],99.9429223744292,Hourly
2022,Chesterfield Loundsley Green,7.19110967668228,[z],99.9200913242009,Hourly
2023,Chesterfield Loundsley Green,6.56251724925748,[z],99.9315068493151,Hourly
2024,Chesterfield Loundsley Green,6.67125802032195,[z],99.7153916211293,Hourly
2014,Coventry Allesley,12.0900129421915,[z],52.9223744292237,Hourly
2015,Coventry Allesley,10.9396530662106,[z],93.4474885844749,Hourly
2016,Coventry Allesley,10.3745805467558,[z],97.0286885245902,Hourly
2017,Coventry Allesley,11.3808266634811,[z],95.5593607305936,Hourly
2018,Coventry Allesley,10.6345566860465,[z],94.2465753424658,Hourly
2019,Coventry Allesley,9.09717486669898,[z],94.2009132420091,Hourly
2020,Coventry Allesley,7.27197750114207,[z],99.6812386156649,Hourly
2021,Coventry Allesley,7.38545700988947,[z],98.1164383561644,Hourly
2022,Coventry Allesley,7.40244800275482,[z],99.4520547945205,Hourly
2023,Coventry Allesley,6.85250760086867,[z],99.8744292237443,Hourly
2024,Coventry Allesley,6.63916255119953,[z],97.2791438979964,Hourly
2009,Coventry Memorial Park,13.0999357739242,[z],88.8698630136986,Hourly
2010,Coventry Memorial Park,12.2766789328427,[z],99.2694063926941,Hourly
2011,Coventry Memorial Park,10.0548363897878,[z],63.4931506849315,Hourly
2012,Coventry Memorial Park,9.55041152263374,[z],22.1311475409836,Hourly
2013,Coventry Memorial Park,12.6758634378722,[z],57.5114155251142,Hourly
2014,Coventry Memorial Park,11.9576646893537,[z],36.5639269406393,Hourly
2022,Crewe Coppenhall,6.79360804490178,[z],48.8127853881279,Hourly
2023,Crewe Coppenhall,6.63013789933349,[z],99.337899543379,Hourly
2024,Crewe Coppenhall,7.0780264749515,[z],99.7609289617486,Hourly
2023,Derby Stockbrook Park,6.3144565701559,[z],10.2511415525114,Hourly
2024,Derby Stockbrook Park,7.00094738048836,[z],99.3055555555556,Hourly
2009,Derry,8.26565008025682,[z],14.2237442922374,Hourly
2010,Derry,19.3437798585897,[z],59.7374429223744,Hourly
2011,Derry,14.2051759834369,[z],55.1369863013699,Hourly
2012,Derry,15.0002414001207,[z],94.3192167577414,Hourly
2013,Derry,11.4893225661732,[z],76.3356164383562,Hourly
2014,Derry,11.9673055521207,[z],92.3173515981735,Hourly
2015,Derry,11.7525367472736,[z],96.3013698630137,Hourly
2016,Derry,14.144131097561,[z],14.936247723133,Hourly
2016,Derry Rosemount,9.36539513922421,[z],70.7308743169399,Hourly
2017,Derry Rosemount,8.01932903533906,[z],95.6164383561644,Hourly
2018,Derry Rosemount,9.6746445214482,[z],95.5365296803653,Hourly
2019,Derry Rosemount,9.40149029258956,[z],83.4931506849315,Hourly
2020,Derry Rosemount,6.71532248624605,[z],97.2563752276867,Hourly
2021,Derry Rosemount,7.15609756097561,[z],95.9474885844749,Hourly
2022,Derry Rosemount,8.53274643669901,[z],95.3082191780822,Hourly
2023,Derry Rosemount,7.60147378593863,[z],94.4977168949772,Hourly
2024,Derry Rosemount,8.15348375898835,[z],91.8260473588342,Hourly
2022,Dewsbury Ashworth Grange,6.87190952380952,[z],50.3424657534247,Hourly
2023,Dewsbury Ashworth Grange,7.42219896788991,[z],99.5433789954338,Hourly
2024,Dewsbury Ashworth Grange,7.96862179244091,[z],90.0614754098361,Hourly
2009,Eastbourne,10.1921728971963,[z],39.0867579908676,Hourly
2010,Eastbourne,13.4144495972663,[z],93.5388127853881,Hourly
2011,Eastbourne,16.3662561003951,[z],98.2420091324201,Hourly
2012,Eastbourne,15.6541900107283,[z],95.5031876138434,Hourly
2013,Eastbourne,15.2750636426753,[z],98.6529680365297,Hourly
2014,Eastbourne,12.2349758890898,[z],75.7534246575343,Hourly
2015,Eastbourne,10.3780496357784,[z],67.3858447488584,Hourly
2016,Eastbourne,12.7073245952197,[z],73.8274134790528,Hourly
2017,Eastbourne,11.3436173995496,[z],96.3127853881278,Hourly
2018,Eastbourne,12.7091372068603,[z],97.8424657534247,Hourly
2019,Eastbourne,10.4921318770227,[z],98.7671232876712,Hourly
2020,Eastbourne,8.70843815149409,[z],98.292349726776,Hourly
2021,Eastbourne,8.37945185269899,[z],99.8173515981735,Hourly
